Year|Code|Title|Instructor|School|Term|Period|Classroom|c_id
2025|ECNE301L|Topics in Global Political Economy (Data and Econometric Methods) [E] 01|PERVIN, Shahida|Schl Political Sci/Econo|spring semester|['Mon.2']|['3-704']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G300RA0401202511G300RA0411&pLng=en
2025|BSPX101S|Basic Seminar [E] 01|DEJARNETTE, Patrick|Schl Political Sci/Econo|fall semester|['Tues.4']|['3-607']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400101001202511G400101011&pLng=en
2025|BSPX101S|Basic Seminar [E] 02|PERVIN, Shahida|Schl Political Sci/Econo|fall semester|['Tues.4']|['3-609']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400101002202511G400101011&pLng=en
2025|BSPX101S|Basic Seminar [E] 03|PERVIN, Shahida|Schl Political Sci/Econo|fall semester|['Tues.5']|['3-809']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400101003202511G400101011&pLng=en
2025|BSPX101S|Basic Seminar [E] 04|JOU, Willy|Schl Political Sci/Econo|fall semester|['Tues.4']|['3-406']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400101004202511G400101011&pLng=en
2025|BSPX101S|Basic Seminar [E] 05|MITSCH, Frieder|Schl Political Sci/Econo|fall semester|['Tues.4']|['3-702']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400101005202511G400101011&pLng=en
2025|BSPX101S|Basic Seminar [E] 06|MITSCH, Frieder|Schl Political Sci/Econo|fall semester|['Tues.5']|['3-702']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400101006202511G400101011&pLng=en
2025|BSPX101S|Basic Seminar [E] 07|KOBAYASHI, Takuto|Schl Political Sci/Econo|fall semester|['Tues.5']|['3-712']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400101007202511G400101011&pLng=en
2025|BSPX101S|Basic Seminar [E] 09|RUJIWATTANAPONG, Wongkot Similan|Schl Political Sci/Econo|fall semester|['Tues.4']|['3-604']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400101009202511G400101011&pLng=en
2025|ECNA201L|Japanese Economy [E] 01|UEDA, Kozo|Schl Political Sci/Econo|winter quarter|['01:Mon.1', '02:Wed.1']|['undecided']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400104201202511G400104211&pLng=en
2025|POLX241L|International Politics [E] 01|KURIZAKI, Shuhei|Schl Political Sci/Econo|fall semester|['01:Mon.1', '02:Mon.2']|['01:3-405', '02:3-406']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400104701202511G400104711&pLng=en
2025|POLX211L|Political Communication [E] 01|KOBAYASHI, Tetsuro|Schl Political Sci/Econo|fall semester|['Thur.4']|['3-801']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400104801202511G400104811&pLng=en
2025|POLX251L|Local Government [E] 01|SATO, Manabu|Schl Political Sci/Econo|summer|['othersothers']|['undecided']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400105001202511G400105011&pLng=en
2025|ECNA231L|Public Finance [E] 01|KONISHI, Hideki|Schl Political Sci/Econo|fall semester|['Wed.1']|['3-502']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400105301202511G400105311&pLng=en
2025|ECNT231L|Game Theory II [E] 01|KVASOV, Dmitriy|Schl Political Sci/Econo|spring semester|['Tues.3']|['3-704']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400105501202511G400105511&pLng=en
2025|ECNT221L|Econometrics I [E] 01|AWAYA, Naoki|Schl Political Sci/Econo|fall semester|['Mon.4']|['3-704']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400105701202511G400105711&pLng=en
2025|ECNT231L|Game Theory I [E] 01|ASAKO, Yasushi|Schl Political Sci/Econo|fall semester|['Thur.2']|['3-909演習室']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400105801202511G400105811&pLng=en
2025|GENX301S|Advanced Seminar I [E] 01|KELLAM, Marisa|Schl Political Sci/Econo|spring semester|['Thur.3']|['3-708']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400105901202511G400105911&pLng=en
2025|GENX301S|Advanced Seminar I [E] 03|VESZTEG, Robert Ferenc|Schl Political Sci/Econo|spring semester|['Thur.3']|['3-706']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400105903202511G400105911&pLng=en
2025|GENX301S|Advanced Seminar I [E] 04|ASAKO, Yasushi|Schl Political Sci/Econo|spring semester|['Thur.3']|['3-805']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400105904202511G400105911&pLng=en
2025|GENX301S|Advanced Seminar I [E] 07|SHIMOKAWA, Satoru|Schl Political Sci/Econo|spring semester|['Thur.3']|['3-802']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400105907202511G400105911&pLng=en
2025|GENX301S|Advanced Seminar I [E] 08|JOU, Willy|Schl Political Sci/Econo|spring semester|['Thur.3']|['3-909演習室']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400105908202511G400105911&pLng=en
2025|GENX301S|Advanced Seminar I [E] 09|KAWAMURA, Kohei|Schl Political Sci/Econo|spring semester|['Thur.3']|['3-604']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400105909202511G400105911&pLng=en
2025|GENX301S|Advanced Seminar I [E] 10|KVASOV, Dmitriy|Schl Political Sci/Econo|spring semester|['Thur.3']|['3-607']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400105910202511G400105911&pLng=en
2025|GENX201S|Advanced Seminar I [E] 12|SEDDON, Jack|Schl Political Sci/Econo|spring semester|['Thur.3']|['3-710']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400105912202511G400105911&pLng=en
2025|GENX201S|Advanced Seminar I [E] 13|DEJARNETTE, Patrick|Schl Political Sci/Econo|spring semester|['Thur.3']|['3-608']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400105913202511G400105911&pLng=en
2025|GENX409T|Advanced Seminar I [E] 14|YAMAMOTO, Teppei|Schl Political Sci/Econo|spring semester|['Thur.3']|['3-908演習室']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400105914202511G400105911&pLng=en
2025|POLX241L|Transnational Relations [E] 01|TOMARU, Junko|Schl Political Sci/Econo|spring semester|['Fri.2']|['3-601']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400106001202511G400106011&pLng=en
2025|POLX201L|Comparative Politics of East Asia [E] 01|JOU, Willy|Schl Political Sci/Econo|fall semester|['Tues.3']|['3-406']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400106101202511G400106111&pLng=en
2025|PHLT241L|Japanese Political Thought A [E] 01|MIDDLETON, Benjamin Dugald／UMEMORI, Naoyuki|Schl Political Sci/Econo|spring semester|['Fri.2']|['3-406']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400106401202511G400106411&pLng=en
2025|PHLT241L|Japanese Political Thought B [E] 01|MIDDLETON, Benjamin Dugald／UMEMORI, Naoyuki|Schl Political Sci/Econo|fall semester|['Fri.2']|['3-701']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400106501202511G400106511&pLng=en
2025|GENX301S|Advanced Seminar II [E] 01|KELLAM, Marisa|Schl Political Sci/Econo|fall semester|['Thur.3']|['3-713']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400106801202511G400106811&pLng=en
2025|GENX301S|Advanced Seminar II [E] 03|VESZTEG, Robert Ferenc|Schl Political Sci/Econo|fall semester|['Thur.3']|['3-607']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400106803202511G400106811&pLng=en
2025|GENX301S|Advanced Seminar II [E] 04|ASAKO, Yasushi|Schl Political Sci/Econo|fall semester|['Thur.3']|['3-604']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400106804202511G400106811&pLng=en
2025|GENX301S|Advanced Seminar II [E] 07|SHIMOKAWA, Satoru|Schl Political Sci/Econo|fall semester|['Thur.3']|['3-711']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400106807202511G400106811&pLng=en
2025|GENX301S|Advanced Seminar II [E] 08|JOU, Willy|Schl Political Sci/Econo|fall semester|['Thur.3']|['3-916演習室']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400106808202511G400106811&pLng=en
2025|GENX301S|Advanced Seminar II [E] 09|KAWAMURA, Kohei|Schl Political Sci/Econo|fall semester|['Thur.3']|['3-908演習室']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400106809202511G400106811&pLng=en
2025|GENX301S|Advanced Seminar II [E] 10|KVASOV, Dmitriy|Schl Political Sci/Econo|fall semester|['Thur.3']|['3-915演習室']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400106810202511G400106811&pLng=en
2025|GENX301S|Advanced Seminar II [E] 12|SEDDON, Jack|Schl Political Sci/Econo|fall semester|['Thur.3']|['3-809']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400106812202511G400106811&pLng=en
2025|GENX301S|Advanced Seminar II [E] 13|DEJARNETTE, Patrick|Schl Political Sci/Econo|fall semester|['Thur.3']|['3-909演習室']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400106813202511G400106811&pLng=en
2025|GENX409T|Advanced Seminar II [E] 14|YAMAMOTO, Teppei|Schl Political Sci/Econo|fall semester|['Thur.3']|['3-1115演習室']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400106814202511G400106811&pLng=en
2025|ECNA341L|Labor Economics II [E] 01|MURAKAMI, Yukiko|Schl Political Sci/Econo|fall semester|['Fri.2']|['3-404']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400107401202511G400107411&pLng=en
2025|ECNT301L|Industrial Ecology [E] 01|KONDO, Yasushi|Schl Political Sci/Econo|fall semester|['Thur.2']|['3-703']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400107601202511G400107611&pLng=en
2025|ECNA281L|International Political Economy [E] 01|SEDDON, Jack|Schl Political Sci/Econo|fall semester|['Mon.3']|['3-801']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400108001202511G400108011&pLng=en
2025|POLX311L|Theories in Comparative Politics [E] 01|BENASAGLIO BERLUCCHI, Antonio|Schl Political Sci/Econo|fall semester|['Tues.2']|['3-710']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400108101202511G400108111&pLng=en
2025|POLX261L|Western Political History [E] 01|NAKAUCHI, Eizo|Schl Political Sci/Econo|fall semester|['Thur.3']|['3-305']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400108201202511G400108211&pLng=en
2025|ECNA361L|Environmental Economics [E] 01|ARIMURA, Toshihide|Schl Political Sci/Econo|spring semester|['Tues.2']|['3-401']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400108601202511G400108611&pLng=en
2025|ECNA251L|Industrial Organization [E] 01|TOYAMA, Yuta|Schl Political Sci/Econo|fall semester|['Fri.2']|['3-502']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400109501202511G400109511&pLng=en
2025|ECNA361L|Economics of Resources and Food [E] 01|SHIMOKAWA, Satoru|Schl Political Sci/Econo|spring semester|['Tues.3']|['3-404']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400109801202511G400109811&pLng=en
2025|POLX241L|International Organization [E] 01|NAKAMURA, Hidetoshi|Schl Political Sci/Econo|fall semester|['Tues.3']|['3-605']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400109901202511G400109911&pLng=en
2025|POLX241L|International Public Administration [E] 01|TAKEDA, Ken|Schl Political Sci/Econo|fall semester|['Fri.3']|['3-305']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400110001202511G400110011&pLng=en
2025|POLX331L|NPOs and NGOs [E] 01|NODA, Masato|Schl Political Sci/Econo|fall semester|['Fri.5']|['undecided']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400110101202511G400110111&pLng=en
